"tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"3/30/2018","56","30","34","105","30","105","o3","TIDAK SEHAT","DKI2"
"3/31/2018","39","48","15","67","8","67","o3","SEDANG","DKI5"
"1/5/2018","73","25","19","101","18","101","o3","TIDAK SEHAT","DKI5"
"2/5/2018","88","25","22","183","18","183","o3","TIDAK SEHAT","DKI5"
"3/5/2018","103","27","23","166","20","166","o3","TIDAK SEHAT","DKI5"
"4/5/2018","91","27","46","164","23","164","o3","TIDAK SEHAT","DKI5"
"5/5/2018","78","26","27","137","17","137","o3","TIDAK SEHAT","DKI5"
"6/5/2018","70","26","17","109","15","109","o3","TIDAK SEHAT","DKI5"
"7/5/2018","68","27","17","77","16","77","o3","SEDANG","DKI5"
"8/5/2018","79","26","21","204","17","204","o3","SANGAT TIDAK SEHAT","DKI5"
"9/5/2018","93","27","21","156","20","156","o3","TIDAK SEHAT","DKI5"
"10/5/2018","73","25","18","107","15","107","o3","TIDAK SEHAT","DKI5"
"11/5/2018","74","27","16","83","18","83","o3","SEDANG","DKI5"
"12/5/2018","103","27","29","144","21","144","o3","TIDAK SEHAT","DKI5"
"5/13/2018","96","26","26","131","14","131","o3","TIDAK SEHAT","DKI5"
"5/14/2018","87","26","20","178","13","178","o3","TIDAK SEHAT","DKI5"
"5/15/2018","94","27","25","143","17","143","o3","TIDAK SEHAT","DKI5"
"5/16/2018","87","28","23","151","16","151","o3","TIDAK SEHAT","DKI5"
"5/17/2018","65","25","19","80","16","80","o3","SEDANG","DKI3"
"5/18/2018","78","26","26","86","11","86","o3","SEDANG","DKI5"
"5/19/2018","59","24","13","102","10","102","o3","TIDAK SEHAT","DKI5"
"5/20/2018","61","25","29","98","12","98","o3","SEDANG","DKI5"
"5/21/2018","60","25","20","185","16","185","o3","TIDAK SEHAT","DKI5"
"5/22/2018","58","25","14","80","10","80","o3","SEDANG","DKI5"
"5/23/2018","58","26","12","74","12","74","o3","SEDANG","DKI5"
"5/24/2018","42","25","12","94","10","94","o3","SEDANG","DKI5"
"5/25/2018","66","26","22","92","11","92","o3","SEDANG","DKI5"
"5/26/2018","71","29","24","119","13","119","o3","TIDAK SEHAT","DKI5"
"5/27/2018","62","26","23","156","10","156","o3","TIDAK SEHAT","DKI5"
"5/28/2018","81","24","55","120","33","120","o3","TIDAK SEHAT","DKI2"
"5/29/2018","84","31","21","118","20","118","o3","TIDAK SEHAT","DKI5"
"5/30/2018","86","25","24","191","20","191","o3","TIDAK SEHAT","DKI5"
"5/31/2018","83","28","21","183","20","183","o3","TIDAK SEHAT","DKI2"
"1/11/2018","74","27","35","95","16","95","o3","SEDANG","DKI2"
"2/11/2018","50","26","21","85","13","85","o3","SEDANG","DKI3"
"3/11/2018","76","29","24","173","14","173","o3","TIDAK SEHAT","DKI2"
"4/11/2018","56","26","31","110","18","110","o3","TIDAK SEHAT","DKI5"
"5/11/2018","56","24","23","101","17","101","o3","TIDAK SEHAT","DKI3"
"6/11/2018","53","28","20","122","12","122","o3","TIDAK SEHAT","DKI2"
"7/11/2018","59","28","26","96","30","96","o3","SEDANG","DKI5"
"8/11/2018","63","32","24","89","21","89","o3","SEDANG","DKI3"
"9/11/2018","61","24","22","98","16","98","o3","SEDANG","DKI3"
"10/11/2018","60","24","36","166","19","166","o3","TIDAK SEHAT","DKI3"
"11/11/2018","71","40","35","104","16","104","o3","TIDAK SEHAT","DKI3"
"12/11/2018","66","24","31","144","15","144","o3","TIDAK SEHAT","DKI2"
"11/13/2018","66","23","31","129","23","129","o3","TIDAK SEHAT","DKI2"
"11/14/2018","60","23","25","65","17","65","o3","SEDANG","DKI2"
"11/15/2018","40","23","20","51","8","51","o3","SEDANG","DKI2"
"11/16/2018","54","31","22","234","16","234","o3","SANGAT TIDAK SEHAT","DKI2"
"11/17/2018","65","36","18","145","16","145","o3","TIDAK SEHAT","DKI2"
"11/18/2018","59","28","22","120","16","120","o3","TIDAK SEHAT","DKI3"
"11/19/2018","81","25","31","90","17","90","o3","SEDANG","DKI3"
"11/20/2018","56","25","21","94","16","94","o3","SEDANG","DKI2"
"11/21/2018","66","31","21","163","22","163","o3","TIDAK SEHAT","DKI2"
"11/22/2018","69","26","25","129","20","129","o3","TIDAK SEHAT","DKI2"
"11/23/2018","66","27","26","203","22","203","o3","SANGAT TIDAK SEHAT","DKI2"
"11/24/2018","61","24","38","193","22","193","o3","TIDAK SEHAT","DKI2"
"11/25/2018","57","25","21","77","15","77","o3","SEDANG","DKI3"
"11/26/2018","73","24","26","90","20","90","o3","SEDANG","DKI3"
"11/27/2018","63","24","28","126","19","126","o3","TIDAK SEHAT","DKI3"
"11/28/2018","63","26","22","109","17","109","o3","TIDAK SEHAT","DKI2"
"11/29/2018","62","27","33","76","26","76","o3","SEDANG","DKI3"
"11/30/2018","53","24","20","131","15","131","o3","TIDAK SEHAT","DKI3"
"1/10/2018","92","33","17","124","12","124","o3","TIDAK SEHAT","DKI5"
"2/10/2018","76","41","22","88","21","88","o3","SEDANG","DKI5"
"3/10/2018","70","32","20","144","11","144","o3","TIDAK SEHAT","DKI5"
"4/10/2018","73","32","24","109","11","109","o3","TIDAK SEHAT","DKI5"
"5/10/2018","67","34","18","146","13","146","o3","TIDAK SEHAT","DKI5"
"6/10/2018","70","33","21","123","12","123","o3","TIDAK SEHAT","DKI5"
"7/10/2018","87","34","22","128","12","128","o3","TIDAK SEHAT","DKI5"
"8/10/2018","66","34","19","185","12","185","o3","TIDAK SEHAT","DKI5"
"9/10/2018","62","34","19","173","11","173","o3","TIDAK SEHAT","DKI5"
"10/10/2018","79","36","24","190","18","190","o3","TIDAK SEHAT","DKI5"
"11/10/2018","81","36","17","149","13","149","o3","TIDAK SEHAT","DKI5"
"12/10/2018","77","35","22","118","16","118","o3","TIDAK SEHAT","DKI5"
"10/13/2018","64","35","20","189","25","189","o3","TIDAK SEHAT","DKI2"
"10/14/2018","86","35","20","138","16","138","o3","TIDAK SEHAT","DKI5"
"10/15/2018","73","33","19","119","12","119","o3","TIDAK SEHAT","DKI5"
"10/16/2018","74","33","23","210","19","210","o3","SANGAT TIDAK SEHAT","DKI5"
"10/17/2018","75","34","23","217","19","217","o3","SANGAT TIDAK SEHAT","DKI5"
"10/18/2018","72","36","20","207","22","207","o3","SANGAT TIDAK SEHAT","DKI5"
"10/19/2018","66","30","23","146","17","146","o3","TIDAK SEHAT","DKI5"
"10/20/2018","57","31","18","212","14","212","o3","SANGAT TIDAK SEHAT","DKI5"
"10/21/2018","65","33","22","139","17","139","o3","TIDAK SEHAT","DKI5"
"10/22/2018","71","28","21","150","12","150","o3","TIDAK SEHAT","DKI5"
"10/23/2018","44","26","19","148","16","148","o3","TIDAK SEHAT","DKI2"
"10/24/2018","73","35","31","139","21","139","o3","TIDAK SEHAT","DKI2"
"10/25/2018","67","30","25","97","19","97","o3","SEDANG","DKI5"
"10/26/2018","67","29","20","119","21","119","o3","TIDAK SEHAT","DKI2"
"10/27/2018","77","26","26","104","11","104","o3","TIDAK SEHAT","DKI3"
"10/28/2018","43","23","20","90","16","90","o3","SEDANG","DKI3"
"10/29/2018","49","25","24","85","13","85","o3","SEDANG","DKI3"
"10/30/2018","61","31","25","104","10","104","o3","TIDAK SEHAT","DKI3"
"10/31/2018","57","27","20","97","15","97","o3","SEDANG","DKI3"
"1/9/2018","68","29","20","145","13","145","o3","TIDAK SEHAT","DKI5"
"2/9/2018","73","30","20","136","11","136","o3","TIDAK SEHAT","DKI5"
"3/9/2018","62","37","23","175","24","175","o3","TIDAK SEHAT","DKI5"
"4/9/2018","52","37","22","217","24","217","o3","SANGAT TIDAK SEHAT","DKI5"
"5/9/2018","53","31","15","140","24","140","o3","TIDAK SEHAT","DKI5"
"6/9/2018","82","44","25","148","17","148","o3","TIDAK SEHAT","DKI5"
"7/9/2018","69","33","21","147","10","147","o3","TIDAK SEHAT","DKI5"
"8/9/2018","51","33","19","175","16","175","o3","TIDAK SEHAT","DKI5"
"9/9/2018","81","34","30","126","16","126","o3","TIDAK SEHAT","DKI5"
"10/9/2018","69","33","20","132","12","132","o3","TIDAK SEHAT","DKI5"
"11/9/2018","63","33","16","102","11","102","o3","TIDAK SEHAT","DKI5"
"12/9/2018","61","32","16","164","13","164","o3","TIDAK SEHAT","DKI2"
